start,end,username,deviceid,phonenumber,Nombre de organización,Número de estación,Coordenadas de estación,_Coordenadas de estación_latitude,_Coordenadas de estación_longitude,_Coordenadas de estación_altitude,_Coordenadas de estación_precision,Número de teléfono,Número de polígono,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,_index
2023-07-07T11:45:29.938-06:00,2023-07-07T11:59:21.627-06:00,username not found,ee.kobotoolbox.org:hpoPYUgHdh5ssYkN,phonenumber not found,CICODUMA,991,14.464768 -90.7263 0 0,14.464768,-90.7263,0,0,43919552,199,251094950,1d0466d9-6027-4223-9914-3889ea1d2d42,2023-07-07T17:48:09,,,submitted_via_web,,vHLeo878XR5CdyewMRNxyg,,1
2023-07-07T11:48:08.993-06:00,2023-07-07T11:59:38.969-06:00,username not found,ee.kobotoolbox.org:hpoPYUgHdh5ssYkN,phonenumber not found,CICODUMA,992,14.465308 -90.719228 0 0,14.465308,-90.719228,0,0,43919552,199,251095278,e1edb5b5-e26e-4fa3-9215-1eb3860ed07f,2023-07-07T17:49:15,,,submitted_via_web,,vHLeo878XR5CdyewMRNxyg,,2
2023-07-07T11:49:15.007-06:00,2023-07-07T12:00:10.856-06:00,username not found,ee.kobotoolbox.org:hpoPYUgHdh5ssYkN,phonenumber not found,CICODUMA,993,14.465641 -90.705155 0 0,14.465641,-90.705155,0,0,43919552,199,251095384,0116ff3d-e442-41b8-ab6f-e3159a2b3017,2023-07-07T17:49:45,,,submitted_via_web,,vHLeo878XR5CdyewMRNxyg,,3
2023-07-07T11:49:45.313-06:00,2023-07-07T12:00:44.852-06:00,username not found,ee.kobotoolbox.org:hpoPYUgHdh5ssYkN,phonenumber not found,CICODUMA,994,14.458618 -90.722533 0 0,14.458618,-90.722533,0,0,43919552,199,251095523,0feb8855-7277-425b-85fa-e9b349e87c65,2023-07-07T17:50:14,,,submitted_via_web,,vHLeo878XR5CdyewMRNxyg,,4
2023-07-07T11:50:14.703-06:00,2023-07-07T12:01:46.281-06:00,username not found,ee.kobotoolbox.org:hpoPYUgHdh5ssYkN,phonenumber not found,CICODUMA,995,14.459948 -90.716338 0 0,14.459948,-90.716338,0,0,43919552,199,251095613,58f11f52-f06d-4609-adcf-8d0cc8801178,2023-07-07T17:50:38,,,submitted_via_web,,vHLeo878XR5CdyewMRNxyg,,5
2023-07-07T11:50:38.428-06:00,2023-07-07T12:02:29.149-06:00,username not found,ee.kobotoolbox.org:hpoPYUgHdh5ssYkN,phonenumber not found,CICODUMA,996,14.459117 -90.706551 0 0,14.459117,-90.706551,0,0,43919552,199,251095718,abed2afb-077b-4e26-a20e-78fab15aa0e0,2023-07-07T17:51:08,,,submitted_via_web,,vHLeo878XR5CdyewMRNxyg,,6
2023-07-07T11:51:08.470-06:00,2023-07-07T12:03:03.053-06:00,username not found,ee.kobotoolbox.org:hpoPYUgHdh5ssYkN,phonenumber not found,CICODUMA,997,14.453797 -90.723386 0 0,14.453797,-90.723386,0,0,43919552,199,251095893,59ee2c49-f614-48d5-9940-2cd354c3502b,2023-07-07T17:51:32,,,submitted_via_web,,vHLeo878XR5CdyewMRNxyg,,7
2023-07-07T11:51:31.910-06:00,2023-07-07T12:03:58.019-06:00,username not found,ee.kobotoolbox.org:hpoPYUgHdh5ssYkN,phonenumber not found,CICODUMA,998,14.453548 -90.718018 0 0,14.453548,-90.718018,0,0,43919552,199,251099514,176b8134-6941-4a02-a564-8d217420768a,2023-07-07T18:03:58,,,submitted_via_web,,vHLeo878XR5CdyewMRNxyg,,8
2023-07-07T12:03:58.030-06:00,2023-07-07T12:04:26.903-06:00,username not found,ee.kobotoolbox.org:hpoPYUgHdh5ssYkN,phonenumber not found,CICODUMA,999,14.453714 -90.709077 0 0,14.453714,-90.709077,0,0,43919552,199,251099626,c1d6708f-cca9-4c8c-b3c4-bbfa96392d95,2023-07-07T18:04:27,,,submitted_via_web,,vHLeo878XR5CdyewMRNxyg,,9
2023-07-07T12:04:26.913-06:00,2023-07-07T12:05:53.643-06:00,username not found,ee.kobotoolbox.org:hpoPYUgHdh5ssYkN,phonenumber not found,VEGEXSA,991,14.482304 -90.733288 0 0,14.482304,-90.733288,0,0,43919552,199,251100032,196b24a9-100e-4f11-804b-7b7d94619370,2023-07-07T18:05:53,,,submitted_via_web,,vHLeo878XR5CdyewMRNxyg,,10
